07/17/24 13:12:41 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 13:12:45 (3.95s) | Epoch: 1 | Batch: 151 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.96s) | Epoch: 1 | Batch: 152 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.98s) | Epoch: 1 | Batch: 153 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.00s) | Epoch: 1 | Batch: 154 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:45 (4.01s) | Epoch: 1 | Batch: 155 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.03s) | Epoch: 1 | Batch: 156 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.05s) | Epoch: 1 | Batch: 157 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.06s) | Epoch: 1 | Batch: 158 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.08s) | Epoch: 1 | Batch: 159 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.10s) | Epoch: 1 | Batch: 160 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.11s) | Epoch: 1 | Batch: 161 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.13s) | Epoch: 1 | Batch: 162 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.15s) | Epoch: 1 | Batch: 163 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:45 (4.16s) | Epoch: 1 | Batch: 164 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.18s) | Epoch: 1 | Batch: 165 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.20s) | Epoch: 1 | Batch: 166 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.21s) | Epoch: 1 | Batch: 167 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.23s) | Epoch: 1 | Batch: 168 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (4.25s) | Epoch: 1 | Batch: 169 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (4.26s) | Epoch: 1 | Batch: 170 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
